"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.279577810504554,0.279543090467804,0.279543402362695,0.279301437802094,0.279543090467804,0.279543090467804,0.279577810504554,0.279508689150002,0.279543090467804,0.279543402362695,0.279508689150002,0.27944020334325,0.279128062490021,0.279128062490021,0.279231123295857,0.279508689150002,0.279543090467804,0.27944020334325,0.27944020334325,0.27944020334325,0.27944020334325,0.27944020334325,0.279404570273643,0.27944020334325,0.27944020334325,0.279508689150002,0.279405510595807,0.279508689150002,0.279508689150002,0.279405490196154
0.189669005167949,0.189692562590952,0.189645660533082,0.189387396314562,0.189598350450694,0.189598350450694,0.189669005167949,0.189575016242333,0.189692562590952,0.189645660533082,0.189575016242333,0.189575643866867,0.18922282787213,0.18922282787213,0.189292698681139,0.189575016242333,0.189598350450694,0.189575643866867,0.189575643866867,0.189575643866867,0.189575643866867,0.189575643866867,0.189457333079095,0.189575643866867,0.189575643866867,0.189575016242333,0.189505030846661,0.189575016242333,0.189575016242333,0.189599182772769
0.923884072800601,0.923769329624692,0.923997790863591,0.923425236159192,0.923769346486005,0.923769346486005,0.923884072800601,0.923883041995653,0.923769329624692,0.923997790863591,0.923428343900825,0.923884072800601,0.922851998161451,0.922851998161451,0.922965563916544,0.923883041995653,0.923769346486005,0.92297483199322,0.92297483199322,0.923884072800601,0.923884072800601,0.923884072800601,0.923538880886932,0.923884072800601,0.923884072800601,0.923883041995653,0.923769346486005,0.923883041995653,0.923883041995653,0.922860134365668
0.175636220214254,0.175527181878276,0.17570107414994,0.175810014725347,0.175701678291879,0.175701678291879,0.175636220214254,0.175766551585866,0.175527181878276,0.17570107414994,0.175593609340023,0.175722697449752,0.175788181339639,0.175788181339639,0.175766554794378,0.175766551585866,0.175701678291879,0.175377043770656,0.175377043770656,0.175722697449752,0.175722697449752,0.175722697449752,0.17578838388949,0.175722697449752,0.175722697449752,0.175766551585866,0.175788181339639,0.175766551585866,0.175766551585866,0.175268147143735
0.086374330307169,0.0863421544971018,0.0863637008518608,0.0863318266373383,0.086385058241519,0.086385058241519,0.086374330307169,0.0863744282542917,0.0863421544971018,0.0863637008518608,0.0863744282542916,0.0863318203338851,0.0862996698114933,0.0862996698114933,0.0863315313653158,0.0863744282542917,0.086385058241519,0.086331820333885,0.086331820333885,0.0863318203338851,0.0863318203338851,0.0863318203338851,0.086363702428306,0.0863318203338851,0.0863318203338851,0.0863744282542917,0.0863425461403692,0.0863744282542917,0.0863744282542917,0.086299657209283
0.155989462194201,0.155931353641692,0.155970265715212,0.155912701835254,0.1560088365234,0.1560088365234,0.155989462194201,0.155989639083781,0.155931353641692,0.155970265715212,0.155989639083781,0.155912690451406,0.155854627567684,0.155854627567684,0.155912168582796,0.155989639083781,0.1560088365234,0.155912690451406,0.155912690451406,0.155912690451406,0.155912690451406,0.155912690451406,0.155970268562225,0.155912690451406,0.155912690451406,0.155989639083781,0.155932060937742,0.155989639083781,0.155989639083781,0.155854604808469
0.109351988216886,0.109338408079597,0.109338530071848,0.109243889850823,0.109338408079597,0.109338408079597,0.109351988216886,0.10932495260367,0.109338408079597,0.109338530071848,0.10932495260367,0.1092981655739,0.109176077119016,0.109176077119016,0.10921638755712,0.10932495260367,0.109338408079597,0.1092981655739,0.1092981655739,0.1092981655739,0.1092981655739,0.1092981655739,0.109284228319721,0.1092981655739,0.1092981655739,0.10932495260367,0.109284596110348,0.10932495260367,0.10932495260367,0.10928458813138
0.198862088786895,0.198788007685886,0.198886564297606,0.198862092416837,0.19888678983182,0.19888678983182,0.198862088786895,0.198911266567335,0.198788007685886,0.198886564297606,0.198813377695621,0.198862088786895,0.198788014943064,0.198788014943064,0.198812475893158,0.198911266567335,0.19888678983182,0.198666393103653,0.198666393103653,0.198862088786895,0.198862088786895,0.198862088786895,0.198886564297606,0.198862088786895,0.198862088786895,0.198911266567335,0.19888678983182,0.198911266567335,0.198911266567335,0.198592370405843
0.164852499818871,0.164872974962229,0.164832209622211,0.164607736983685,0.164791089644061,0.164791089644061,0.164852499818871,0.164770808509691,0.164872974962229,0.164832209622211,0.164770808509691,0.164771354015127,0.164464700860823,0.164464700860823,0.164525429694822,0.164770808509691,0.164791089644061,0.164771354015127,0.164771354015127,0.164771354015127,0.164771354015127,0.164771354015127,0.164668523143512,0.164771354015127,0.164771354015127,0.164770808509691,0.164709980081677,0.164770808509691,0.164770808509691,0.164791813064182
0.644379006416873,0.64429897679426,0.644458321056662,0.644058982825382,0.644298988554475,0.644298988554475,0.644379006416873,0.644378287464044,0.64429897679426,0.644458321056662,0.644061150373806,0.644379006416873,0.643659168019284,0.643659168019284,0.643738376429283,0.644378287464044,0.644298988554475,0.643744840610466,0.643744840610466,0.644379006416873,0.644379006416873,0.644379006416873,0.644138246316227,0.644379006416873,0.644379006416873,0.644378287464044,0.644298988554475,0.644378287464044,0.644378287464044,0.643664842756346
